currency,horizon,date,y_pred
USD,2.0,2025-11-17,41.1371031135095
USD,2.0,2025-11-18,41.1371031135095
USD,2.0,2025-11-19,41.1371031135095
USD,2.0,2025-11-20,41.1371031135095
USD,2.0,2025-11-21,41.1371031135095
USD,2.0,2025-11-22,41.1371031135095
USD,2.0,2025-11-23,41.1371031135095
USD,2.0,2025-11-24,41.1371031135095
USD,2.0,2025-11-25,41.1371031135095
USD,2.0,2025-11-26,41.1371031135095
USD,2.0,2025-11-27,41.1371031135095
USD,2.0,2025-11-28,41.1371031135095
USD,2.0,2025-11-29,41.1371031135095
USD,2.0,2025-11-30,41.1371031135095
USD,2.0,2025-12-01,41.1371031135095
USD,2.0,2025-12-02,41.1371031135095
USD,2.0,2025-12-03,41.1371031135095
USD,2.0,2025-12-04,41.1371031135095
USD,2.0,2025-12-05,41.1371031135095
USD,2.0,2025-12-06,41.1371031135095
USD,2.0,2025-12-07,41.1371031135095
USD,2.0,2025-12-08,41.1371031135095
USD,2.0,2025-12-09,41.1371031135095
USD,2.0,2025-12-10,41.1371031135095
USD,2.0,2025-12-11,41.1371031135095
USD,2.0,2025-12-12,41.1371031135095
USD,2.0,2025-12-13,41.1371031135095
USD,2.0,2025-12-14,41.1371031135095
USD,2.0,2025-12-15,41.1371031135095
USD,2.0,2025-12-16,41.1371031135095
USD,2.0,2025-12-17,41.1371031135095
USD,2.0,2025-12-18,41.1371031135095
USD,2.0,2025-12-19,41.1371031135095
USD,2.0,2025-12-20,41.1371031135095
USD,2.0,2025-12-21,41.1371031135095
USD,2.0,2025-12-22,41.1371031135095
USD,2.0,2025-12-23,41.1371031135095
USD,2.0,2025-12-24,41.1371031135095
USD,2.0,2025-12-25,41.1371031135095
USD,2.0,2025-12-26,41.1371031135095
USD,2.0,2025-12-27,41.1371031135095
USD,2.0,2025-12-28,41.1371031135095
USD,2.0,2025-12-29,41.1371031135095
USD,2.0,2025-12-30,41.1371031135095
USD,2.0,2025-12-31,41.1371031135095
USD,2.0,2026-01-01,41.1371031135095
USD,2.0,2026-01-02,41.1371031135095
USD,2.0,2026-01-03,41.1371031135095
USD,2.0,2026-01-04,41.1371031135095
USD,2.0,2026-01-05,41.1371031135095
USD,2.0,2026-01-06,41.1371031135095
USD,2.0,2026-01-07,41.1371031135095
USD,2.0,2026-01-08,41.1371031135095
USD,2.0,2026-01-09,41.1371031135095
USD,2.0,2026-01-10,41.1371031135095
USD,2.0,2026-01-11,41.1371031135095
USD,2.0,2026-01-12,41.1371031135095
USD,2.0,2026-01-13,41.1371031135095
USD,2.0,2026-01-14,41.1371031135095
USD,2.0,2026-01-15,41.1371031135095
USD,2.0,2026-01-16,41.1371031135095
USD,2.0,2026-01-17,41.1371031135095
USD,2.0,2026-01-18,41.1371031135095
USD,2.0,2026-01-19,41.1371031135095
USD,2.0,2026-01-20,41.1371031135095
USD,2.0,2026-01-21,41.1371031135095
USD,2.0,2026-01-22,41.1371031135095
USD,2.0,2026-01-23,41.1371031135095
USD,2.0,2026-01-24,41.1371031135095
USD,2.0,2026-01-25,41.1371031135095
USD,2.0,2026-01-26,41.1371031135095
USD,2.0,2026-01-27,41.1371031135095
USD,2.0,2026-01-28,41.1371031135095
USD,2.0,2026-01-29,41.1371031135095
USD,2.0,2026-01-30,41.1371031135095
USD,2.0,2026-01-31,41.1371031135095
USD,2.0,2026-02-01,41.1371031135095
USD,2.0,2026-02-02,41.1371031135095
USD,2.0,2026-02-03,41.1371031135095
USD,2.0,2026-02-04,41.1371031135095
USD,2.0,2026-02-05,41.1371031135095
USD,2.0,2026-02-06,41.1371031135095
